wav,flux
4439.16,8.704007e-14
4440.16,9.179873e-14
4441.16,9.077803e-14
4442.16,9.198899e-14
4443.16,9.291861e-14
4444.16,9.313901e-14
4445.16,9.05129e-14
4446.16,9.196666e-14
4447.16,9.206498e-14
4448.16,9.289887e-14
4449.16,9.620893e-14
4450.16,1.027341e-13
4451.16,9.731535e-14
4452.16,9.635726e-14
4453.16,1.017538e-13
4454.16,1.035218e-13
4455.16,1.027036e-13
4456.16,1.024802e-13
4457.16,1.032904e-13
4458.16,1.086295e-13
4459.16,1.110341e-13
4460.16,1.085508e-13
4461.16,1.062137e-13
4462.16,1.083989e-13
4463.16,1.095344e-13
4464.16,1.065197e-13
4465.16,1.093925e-13
4466.16,1.206745e-13
4467.16,1.061145e-13
4468.16,1.11167e-13
4469.16,1.133447e-13
4470.16,1.132926e-13
4471.16,1.128152e-13
4472.16,1.183009e-13
4473.16,1.162952e-13
4474.16,1.133352e-13
4475.16,1.155833e-13
4476.16,1.167228e-13
4477.16,1.196745e-13
4478.16,1.215652e-13
4479.16,1.214057e-13
4480.16,1.218287e-13
4481.16,1.215688e-13
4482.16,1.214799e-13
4483.16,1.214688e-13
4484.16,1.210311e-13
4485.16,1.19059e-13
4486.16,1.205321e-13
4487.16,1.224034e-13
4488.16,1.212591e-13
4489.16,1.201595e-13
4490.16,1.25694e-13
4491.16,1.301789e-13
4492.16,1.312732e-13
4493.16,1.286739e-13
4494.16,1.263833e-13
4495.16,1.248488e-13
4496.16,1.24128e-13
4497.16,1.251933e-13
4498.16,1.282155e-13
4499.16,1.290447e-13
4500.16,1.287767e-13
4501.16,1.276321e-13
4502.16,1.291931e-13
4503.16,1.320784e-13
4504.16,1.340914e-13
4505.16,1.343401e-13
4506.16,1.334588e-13
4507.16,1.328463e-13
4508.16,1.326722e-13
4509.16,1.328713e-13
4510.16,1.33531e-13
4511.16,1.33335e-13
4512.16,1.329791e-13
4513.16,1.33132e-13
4514.16,1.35153e-13
4515.16,1.250959e-13
4516.16,1.287024e-13
4517.16,1.311703e-13
4518.16,1.290184e-13
4519.16,1.342317e-13
4520.16,1.367425e-13
4521.16,1.366466e-13
4522.16,1.351882e-13
4523.16,1.385195e-13
4524.16,1.366935e-13
4525.16,1.350581e-13
4526.16,1.353725e-13
4527.16,1.412377e-13
4528.16,1.384378e-13
4529.16,1.370393e-13
4530.16,1.358431e-13
4531.16,1.347782e-13
4532.16,1.409044e-13
4533.16,1.389311e-13
4534.16,1.366972e-13
4535.16,1.351955e-13
4536.16,1.394194e-13
4537.16,1.408384e-13
4538.16,1.371685e-13
4539.16,1.340761e-13
4540.16,1.361218e-13
4541.16,1.370316e-13
4542.16,1.414145e-13
4543.16,1.421988e-13
4544.16,1.385953e-13
4545.16,1.399191e-13
4546.16,1.381544e-13
4547.16,1.378107e-13
4548.16,1.381682e-13
4549.16,1.381059e-13
4550.16,1.408196e-13
4551.16,1.42134e-13
4552.16,1.422885e-13
4553.16,1.407123e-13
4554.16,1.371529e-13
4555.16,1.373672e-13
4556.16,1.370625e-13
4557.16,1.360221e-13
4558.16,1.346017e-13
4559.16,1.359159e-13
4560.16,1.332447e-13
4561.16,1.291406e-13
4562.16,1.262148e-13
4563.16,1.347103e-13
4564.16,1.32534e-13
4565.16,1.304507e-13
4566.16,1.314375e-13
4567.16,1.296278e-13
4568.16,1.282865e-13
4569.16,1.269785e-13
4570.16,1.262941e-13
4571.16,1.304514e-13
4572.16,1.304757e-13
4573.16,1.262185e-13
4574.16,1.239839e-13
4575.16,1.313686e-13
4576.16,1.280905e-13
4577.16,1.261165e-13
4578.16,1.262759e-13
4579.16,1.285887e-13
4580.16,1.219189e-13
4581.16,1.244009e-13
4582.16,1.235105e-13
4583.16,1.219335e-13
4584.16,1.268291e-13
4585.16,1.262195e-13
4586.16,1.244729e-13
4587.16,1.247336e-13
4588.16,1.294662e-13
4589.16,1.271348e-13
4590.16,1.259466e-13
