SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
SN2019ein.p02_binned.txt,S0,II/2002hh/KAST phase-band : -1.0V,2.1495628,1.1219134,1.0,-2.0,-1.0,V,0.75834167,0.24165833,inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/1996cb/FAST phase-band : 29.5B,nan,6.944007,1.0,0.6,29.5,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/1996cb/FAST phase-band : 8.54B,nan,8.232451,1.0,0.6,8.54,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2008ax/CAFOS phase-band : -13.13B,nan,8.555991,1.0,0.8,-13.13,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2008ax/FAST phase-band : -14.85B,nan,7.204482,1.0,0.8,-14.85,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2013df/DEIMOS phase-band : -14.0B,nan,4.199333,1.0,0.6,-14.0,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2013df/HET-LRS phase-band : -1.0B,nan,5.728516,1.0,0.6,-1.0,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2013df/HET-LRS phase-band : -8.0B,nan,5.5910597,1.0,0.6,-8.0,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2013df/HET-LRS phase-band : 14.0B,nan,5.479003,1.0,0.6,14.0,B,nan,nan,-inf,inf
SN2019ein.p02_binned.txt,Sb,IIb/2013df/KAST phase-band : -7.76B,nan,5.8506927,1.0,0.6,-7.76,B,nan,nan,-inf,inf
