"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21812","2012-03-17 00:00:00.00","2456003.5","","Ekar","BC-Ekar","Unknown","Unknown","","Y","","","2012aw_2012-03-17_00-00-00_Ekar_BC-Ekar_None.dat","2012aw_2012-03-17_00-00-00_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","300","","3301.9484437884","7794.80547978","2.2817963616006","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21813","2012-03-19 00:00:00.00","2456005.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2012aw_2012-03-19_00-00-00_NOT_ALFOSC_None.dat","2012aw_2012-03-19_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","Gr#4","","","3493.1004044505","9130.0016457294","2.9856468438977","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21815","2012-03-20 20:38:27.00","2456007.3600347","","TNG","DOLORES","Unknown","Unknown","","Y","","","2012aw_2012-03-20_20-38-27_TNG_DOLORES_None.dat","2012aw_2012-03-20_20-38-27_TNG_DOLORES_None.fits","Object","","","Air","Angstrom","1","Other","","240","100","","1.55468","","","","","3141.8469072756","9470.1418950057","2.6334977060883","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21823","2012-03-24 21:00:34.00","2456011.3753935","","CA-2.2m","CAFOS","Aguirre-Taubenberger","Unknown","","Y","","","2012aw_2012-03-24_21-00-34_CA-2.2m_CAFOS_None.dat","2012aw_2012-03-24_21-00-34_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","900","200","","1.214","","8","","","3341.3292505947","8773.3726738696","4.6427721566452","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21825","2012-03-26 21:02:19.00","2456013.3766088","","Ekar","AFOSC","Pastorello","Unknown","","Y","","","2012aw_2012-03-26_21-02-19_Ekar_AFOSC_None.dat","2012aw_2012-03-26_21-02-19_Ekar_AFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","900","1.26","","1.222","","","GR04","","3421.1221879223","9941.0808249467","4.8117775918999","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21830","2012-03-29 22:15:44.00","2456016.4275926","","Ekar","BC-Ekar","Ochner","Unknown","","Y","","","2012aw_2012-03-29_22-15-44_Ekar_BC-Ekar_None.dat","2012aw_2012-03-29_22-15-44_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","1800","300","","1.231","","","300","","3471.74476292","8135.6631391081","2.2963655224954","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21836","2012-03-31 00:00:00.00","2456017.5","","Ekar","BC-Ekar","Unknown","Unknown","","Y","","","2012aw_2012-03-31_00-00-00_Ekar_BC-Ekar_None.dat","2012aw_2012-03-31_00-00-00_Ekar_BC-Ekar_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","300","","3391.5579072307","7918.1773298291","2.2931202748725","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21840","2012-04-08 21:34:37.00","2456026.3990394","","TNG","DOLORES","Unknown","Unknown","","Y","","","2012aw_2012-04-08_21-34-37_TNG_DOLORES_None.dat","2012aw_2012-04-08_21-34-37_TNG_DOLORES_None.fits","Object","","","Air","Angstrom","1","Other","","360","1","","1.093","","LR-B","","","3241.5880789352","10068.551678354","2.6522780106523","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","21844","2012-04-14 02:53:42.00","2456031.620625","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","2012aw_2012-04-14_02-53-42_ESO-NTT_EFOSC2-NTT_None.dat","2012aw_2012-04-14_02-53-42_ESO-NTT_EFOSC2-NTT_None.fits","Object","","","Air","Angstrom","1","Other","","400","1.5","","1.368","","Gr#13","","","3652.6792563142","9230.9222359466","5.4958058912634","Dall&#039;Ora et al. 2014","2014ApJ...787..139D","[Data obtained from:DallâOra, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2013-03-10 15:34:55"
"7302","2012aw","","160.97396","11.67164","SN IIP","0.002595","54085","2012-04-28 03:56:09.00","2456045.6639931","","Lick-3m","KAST","Jeffrey Silverman","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2012aw_2012-04-28_03-56-09_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3431.0963050883","10333.185383929","1.9942470612079","","","SNR: 59.0909;","WIS_Bot1","2019-09-29 22:15:11"
