"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58174","2018-11-03 00:00:00.00","2458425.5","","HCT-2m","HFOSC","Pavana","","","Y","","","2018hna_2018-11-03_HCT-2m_HFOSC_None.dat","2018hna_2018-11-03_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1800","","","1.798435","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 13:50:54"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58176","2018-11-25 00:00:00.00","2458447.5","","HCT-2m","HFOSC","Amit Mandal","","","Y","","","2018hna_2018-11-25_HCT-2m_HFOSC_None.dat","2018hna_2018-11-25_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","900","","","1.360908","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 13:50:54"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58178","2018-12-09 00:00:00.00","2458461.5","","HCT-2m","HFOSC","Pavana","","","Y","","","2018hna_2018-12-09_HCT-2m_HFOSC_None.dat","2018hna_2018-12-09_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1800","","","1.502777","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 13:50:54"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58180","2018-12-20 00:00:00.00","2458472.5","","HCT-2m","HFOSC","DKS","","","Y","","","2018hna_2018-12-20_HCT-2m_HFOSC_None.dat","2018hna_2018-12-20_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1200","","","1.68651","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 13:50:54"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58182","2018-12-31 00:00:00.00","2458483.5","","HCT-2m","HFOSC","Avinash Singh","","","Y","","","2018hna_2018-12-31_HCT-2m_HFOSC_None.dat","2018hna_2018-12-31_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","900","","","1.121102","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 13:50:54"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58184","2019-02-08 00:00:00.00","2458522.5","","HCT-2m","HFOSC","Avinash singh","","","Y","","","2018hna_2019-02-08_HCT-2m_HFOSC_None.dat","2018hna_2019-02-08_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","900","","","1.19511","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 14:33:02"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58186","2019-02-25 00:00:00.00","2458539.5","","HCT-2m","HFOSC","ToO","","","Y","","","2018hna_2019-02-25_HCT-2m_HFOSC_None.dat","2018hna_2019-02-25_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","900","","","1.148705","","4Grism7","","","3483.2046889789","7681.4463967367","1.5074476509004","","","","Dr Avinash Singh","2020-09-23 14:33:02"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58188","2019-03-04 00:00:00.00","2458546.5","","HCT-2m","HFOSC","Brajesh Kumar","","","Y","","","2018hna_2019-03-04_HCT-2m_HFOSC_None.dat","2018hna_2019-03-04_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1800","","","1.144562","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 14:33:02"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58190","2019-03-17 00:00:00.00","2458559.5","","HCT-2m","HFOSC","Prof. D K Sahu","","","Y","","","2018hna_2019-03-17_HCT-2m_HFOSC_None.dat","2018hna_2019-03-17_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1800","","","1.284991","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 14:33:02"
"10351","2018hna","","186.550208","58.314194","SN II","0.002408","58191","2019-03-30 00:00:00.00","2458572.5","","HCT-2m","HFOSC","Avinash Singh","","","Y","","","2018hna_2019-03-30_HCT-2m_HFOSC_None.dat","2018hna_2019-03-30_HCT-2m_HFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","1800","","","1.168441","","4Grism7","","","3483.2046889789","9103.5148423696","1.2887663731691","","","","Dr Avinash Singh","2020-09-23 14:33:02"
