"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48873","1993-03-30 00:00:00.00","2449076.5","","Lick-3m","KAST","Marc Davis, David Schlegel","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-03-30_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3559.5016697662","7298.97814306","1.998651241739","","2000AJ....120.1499M","SNR: 209.563;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","2733","1993-03-31 20:30:00.00","2449078.3541667","","Ekar","BC-Ekar","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3469.3920413007","9607.0856006729","0.9999500748407","Asiago SN Group","1995A&amp;AS..110..513B","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: raph]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48869","1993-04-12 00:00:00.00","2449089.5","","Lick-3m","KAST","David Finley","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-04-12_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3339.5324654548","7458.9557461955","1.9987497723147","","2000AJ....120.1499M","SNR: 126.428;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48870","1993-04-14 00:00:00.00","2449091.5","","Lick-3m","KAST","Alex Filippenko, Thomas Matheson","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-04-14_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3119.5632611434","9908.6127942088","1.9991311934821","","2000AJ....120.1499M","SNR: 90.7562;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","2782","1993-04-21 00:00:00.00","2449098.5","","Ekar","BC-Ekar","Unknown","Unknown","","Y","","","SN1993J_1993-04-21_00-00-00_Ekar_BC-Ekar_None.dat","","Object","","","Air","Angstrom","1","Other","","150","0","","","","","","","3630.5202487881","","-7.1749412031386","Barbon et al. 1995","1995A&amp;AS..110..513B","[Data obtained from:Yuqian, Liu] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48886","1993-04-30 00:00:00.00","2449107.5","","Lick-3m","KAST","Alex Filippenko, Luis Ho, Tran","Luis Ho","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-04-30_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3113.5641010259","9898.6141940128","1.99913084649","","2000AJ....120.1499M","SNR: 65.8379;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48872","1993-05-11 00:00:00.00","2449118.5","","Lick-3m","KAST","Alex Filippenko, Thomas Matheson","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-05-11_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3119.5632611434","9906.6130741696","1.9991310200372","","2000AJ....120.1499M","SNR: 49.727;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48861","1993-05-22 00:00:00.00","2449129.5","","Lick-3m","KAST","Hyron Spinrad, Gonzalez","Thomas Matheson","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-05-22_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3249.5450636911","10076.589277501","1.9991344696369","","2000AJ....120.1499M","SNR: 36.3206;","WIS_Bot1","2019-01-23 10:48:35"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","2804","1993-06-18 00:00:00.00","2449156.5","","Lick-3m","KAST","HES, CJL","Unknown","","Y","","","SN1993J_1993-06-18_00-00-00_Lick-3m_KAST_None.dat","","Object","","","Air","Angstrom","1","Other","","300","0","","","","","","","3329.2062003006","","-4.3633108785067","Matheson et al. 2000","2000AJ....120.1487M","[Data obtained from:Yuqian, Liu] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"918","1993J","","148.85417","69.02028","SN IIb","-0.000113","48874","1993-06-28 00:00:00.00","2449166.5","","Lick-3m","KAST","Alex Filippenko, Thomas Matheson","Luis Ho","UCB-SNDB","Y","UCB-SNDB","","SN_1993J_1993-06-28_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3109.5646609475","10396.544483772","1.9991714191563","","2000AJ....120.1499M","SNR: 38.1779;","WIS_Bot1","2019-01-23 10:48:35"
