"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48511","2010-11-05 15:36:00.00","2455506.15","","Keck1","LRIS","Alex Filippenko, Ryan Foley, Jeffrey Silverman","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2010-11-05_15-36-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3265.0735086777","7553.2033834077","1.9779196839161","","2012AJ....143...17S","SNR: 100.262;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48514","2010-11-07 15:37:26.00","2455508.1509954","","Keck2","DEIMOS","Ryan Foley, Alex Filippenko, Jeffrey Silverman, Brad Cenko","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2010-11-07_15-37-26_Keck2_DEIMOS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4380.6501849714","9523.8731291376","0.69268995881027","","2012AJ....143...17S","SNR: 90.3481;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48516","2010-11-15 13:43:40.00","2455516.0719907","","Lick-3m","KAST","Io Kleiser, Rex","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2010-11-15_13-43-40_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3399.6341138838","10586.753497834","1.978287746752","","2012AJ....143...17S","SNR: 84.4755;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48517","2010-11-30 13:07:40.00","2455531.0469907","","Lick-3m","KAST","Brad Cenko, Michael Kandrashoff","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2010-11-30_13-07-40_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3399.6341138838","10586.753497834","1.978287746752","","2012AJ....143...17S","SNR: 50.1879;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","PTF10aaxf","145.722208","9.494944","SN IIn","0.0107","24183","2010-12-08 15:27:27.00","2455539.1440625","","Keck1","LRIS","Suzuki, Hsiao, Botyanski","Cenko","PTF","N","PTF","2100-01-01","SN2010jl_2010-12-08_15-27-27_Keck1_LRIS_PTF.ascii","SN2010jl_2010-12-08_15-27-27_Keck1_LRIS_PTF.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3264.8326480855","9894.5279648363","0.60795005197164","","","[Marshal: lastmodified=2010-12-09 01:49:49; specid=2717]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2011-04-21 13:03:24"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48519","2011-01-26 11:19:40.00","2455587.9719907","","Lick-3m","KAST","Jeffrey Silverman, Merritt","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2011-01-26_11-19-40_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3411.5071084608","10487.811876359","1.9782792194291","","2012AJ....143...17S","SNR: 63.7137;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48521","2011-02-09 11:34:04.00","2455601.9819907","","Lick-3m","KAST","Brad Cenko, Rex","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2011-02-09_11-34-04_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3393.6976165953","10586.753497834","1.9782881961602","","2012AJ....143...17S","SNR: 41.9911;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48522","2011-03-31 04:16:19.00","2455651.6779977","","Lick-3m","KAST","Barth, Walsh","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2011-03-31_04-16-19_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3395.6764490248","10685.695119309","1.9782954329129","","2012AJ....143...17S","SNR: 48.3697;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","","145.722208","9.494944","SN IIn","0.0107","48523","2011-05-12 04:39:21.00","2455693.6939931","","Lick-3m","KAST","Diamond-Stanic, Hiner","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010jl_2011-05-12_04-39-21_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3401.6129463133","9945.6117906751","1.978234233483","","2012AJ....143...17S","SNR: 18.9677;","WIS_Bot1","2019-01-23 10:48:35"
"8019","2010jl","PTF10aaxf","145.722208","9.494944","SN IIn","0.0107","24187","2011-10-30 00:00:00.00","2455864.5","","P200","DBSP","Shriharsh","Ofer Yaron","PTF","N","PTF","2100-01-01","SN2010jl_2011-10-30_00-00-00_P200_DBSP_PTF.flm","","Object","","","Air","Angstrom","1","Other","","120","1.5","","","D55","600/4000","158/7500","","3462.9464727417","10078.163648956","3.9541047078389","","",""," Migration From WISeREP1.0","2011-04-21 13:03:24"
