"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5947","1999-05-06 00:00:00.00","2451304.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-05-06_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3589.1133433678","7521.0947691779","1.4671572484366","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5948","1999-05-07 00:00:00.00","2451305.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-05-07_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3266.6425787331","9018.1571087601","1.4661010782633","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5965","1999-05-08 03:36:00.00","2451306.65","","FLWO-1.5m","FAST","MC","Unknown","CfA-Ia","Y","CfA-Ia","","SN1999by_1999-05-08_03-36-00_FLWO-1.5m_FAST_CfA-Ia.flm","","Object","","","Air","Angstrom","1","Other","","1440","3","","1.14","","","","","3392.7801638114","9000.8461992879","1.4966816214242","Matheson et al. 2008","2008AJ....135.1598M","For additional info see related file and http://www.cfa.harvard.edu/supernova/SNarchive.html [Spectrum obtained from dataset of Blondin et al. 2012, 2012arXiv1203.4832] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5950","1999-05-13 00:00:00.00","2451311.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-05-13_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3299.335703077","9378.9665902809","1.4653243883355","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5953","1999-05-16 00:00:00.00","2451314.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-05-16_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3615.7768183369","7545.0905443329","1.4661618380582","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5973","1999-05-19 03:21:36.00","2451317.64","","FLWO-1.5m","FAST","PG","Unknown","CfA-Ia","Y","CfA-Ia","","SN1999by_1999-05-19_03-21-36_FLWO-1.5m_FAST_CfA-Ia.flm","","Object","","","Air","Angstrom","1","Other","","1440","3","","1.2","","","","","3712.1006498172","7524.4878897706","1.4962273312219","Matheson et al. 2008","2008AJ....135.1598M","For additional info see related file and http://www.cfa.harvard.edu/supernova/SNarchive.html [Spectrum obtained from dataset of Blondin et al. 2012, 2012arXiv1203.4832] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5958","1999-06-04 00:00:00.00","2451333.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-06-04_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3619.8294735833","7548.0188840921","1.465742317354","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5960","1999-06-10 00:00:00.00","2451339.5","","FLWO-1.5m","FAST","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1999by_1999-06-10_00-00-00_FLWO-1.5m_FAST_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3617.1076483028","7546.4026128985","1.4661548375357","Peter Garnavich","","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5980","1999-06-22 04:04:48.00","2451351.67","","FLWO-1.5m","FAST","MC","Unknown","CfA-Ia","Y","CfA-Ia","","SN1999by_1999-06-22_04-04-48_FLWO-1.5m_FAST_CfA-Ia.flm","","Object","","","Air","Angstrom","1","Other","","900","3","","2.03","","","","","3712.1006498172","7524.4878897706","1.4962273312219","Matheson et al. 2008","2008AJ....135.1598M","For additional info see related file and http://www.cfa.harvard.edu/supernova/SNarchive.html [Spectrum obtained from dataset of Blondin et al. 2012, 2012arXiv1203.4832] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"1846","1999by","","140.46696","51.00183","SN Ia-91bg-like","0.002128","5981","1999-11-09 15:28:48.00","2451492.145","","Keck1","LRIS","Alex Filippenko,Alison Coil,Adam Riess","Alison Coil","BSNIP","Y","BSNIP","","SN1999by_1999-11-09_15-28-48_Keck1_LRIS_BSNIP.flm","","Object","High","","Air","Angstrom","1","Other","","100","0","","1.2","","","","","3991.5060750722","9679.4022320502","4.9850097782454","Silverman et al. 2012","2012MNRAS.425.1789S","IAUC 7158 1999-04-30 Arbour; Lick Observatory Supernova Search; Berko IAUC 71560 7 1 29 -26.4464 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
