"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1631","2011fe","PTF 11kly","210.774208","54.273722","SN Ia","0.000804","56015","2011-08-25 03:54:43.00","2455798.6629977","","Lick-3m","KAST","Michael Kandrashoff, Brad Cenko","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2011fe_2011-08-25_03-54-43_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3415.8736246614","10277.584677709","1.9970055451245","","2020MNRAS.492.4325S","SNR: 77.7737;","WIS_Bot1","2020-03-08 23:26:39"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5281","2011-08-27 05:55:38.00","2455800.7469676","","UH88","SNIFS","Unknown","Unknown","SNfactory","Y","SNfactory","","SN2011fe_2011-08-27_05-55-38_UH88_SNIFS_SNfactory.dat","SN2011fe_2011-08-27_05-55-38_UH88_SNIFS_SNfactory.fit","Object","","","Air","Angstrom","1","Other","","600","0","","1.74","","","","","3296.0299918865","9693.0867582464","2.3772042981642","Pereira et al. 2013","2013A&amp;A...554A..27P","Spectrum corrected for Milky Way extinction. Data obtained from the &lt;a href=&quot;http://snfactory.lbl.gov/index.html&quot;&gt;SNfactory&lt;/a&gt; website. [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5315","2011-08-28 04:05:00.00","2455801.6701389","","HST","STIS","Unknown","Sullivan","HST-Ia","Y","HST-Ia","","SN2011fe_2011-08-28_04-05-00_HST_STIS_HST-Ia.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","1745.5965403815","24969.424582636","4.9612963132352","Mazzali et al. 2013","2014MNRAS.439.1959M","[Data obtained from:Mark Sullivan] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5321","2011-08-31 06:00:00.00","2455804.75","","HST","STIS","Unknown","Sullivan","HST-Ia","Y","HST-Ia","","SN2011fe_2011-08-31_06-00-00_HST_STIS_HST-Ia.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","1743.9978257481","24962.430206114","4.960143640326","Mazzali et al. 2013","2014MNRAS.439.1959M","[Data obtained from:Mark Sullivan] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5325","2011-09-03 09:07:00.00","2455807.8798611","","HST","STIS","Unknown","Sullivan","HST-Ia","Y","HST-Ia","","SN2011fe_2011-09-03_09-07-00_HST_STIS_HST-Ia.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","1778.9697083545","24965.327876387","4.8762057135716","Mazzali et al. 2013","2014MNRAS.439.1959M","[Data obtained from:Mark Sullivan] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5339","2011-09-10 09:22:00.00","2455814.8902778","","HST","STIS","Unknown","Sullivan","HST-Ia","Y","HST-Ia","","SN2011fe_2011-09-10_09-22-00_HST_STIS_HST-Ia.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","1777.5708330502","24965.327876387","4.8754745675646","Mazzali et al. 2013","2014MNRAS.439.1959M","[Data obtained from:Mark Sullivan] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5349","2011-09-13 16:05:00.00","2455818.1701389","","HST","STIS","Unknown","Sullivan","HST-Ia","Y","HST-Ia","","SN2011fe_2011-09-13_16-05-00_HST_STIS_HST-Ia.dat","","Object","High","","Air","Angstrom","1","Other","","0","0","","","","","","","1264.783114376","24965.327876387","4.3107575049129","Mazzali et al. 2013","2014MNRAS.439.1959M","[Data obtained from:Mark Sullivan] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5299","2011-09-22 05:09:47.00","2455826.7151273","","UH88","SNIFS","Unknown","Unknown","SNfactory","Y","SNfactory","","SN2011fe_2011-09-22_05-09-47_UH88_SNIFS_SNfactory.dat","SN2011fe_2011-09-22_05-09-47_UH88_SNIFS_SNfactory.fit","Object","","","Air","Angstrom","1","Other","","500","0","","2.2","","","","","3296.0299918865","9693.0867582464","2.3772042981642","Pereira et al. 2013","2013A&amp;A...554A..27P","Spectrum corrected for Milky Way extinction. Data obtained from the &lt;a href=&quot;http://snfactory.lbl.gov/index.html&quot;&gt;SNfactory&lt;/a&gt; website. [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF11kly","210.774208","54.273722","SN Ia","0.000804","5235","2011-09-26 04:45:00.00","2455830.6979167","","Keck1","LRIS","Silverman, Cenko, Filippenko","Silverman","PTF","Y","PTF","2020-04-27","SN2011fe_2011-09-26_04-45-00_Keck1_LRIS_PTF.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3227.4051662463","10241.765620441","1.997824111135","","","[Marshal: lastmodified=2011-09-26 19:56:09; specid=3886]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2011-08-29 16:07:46"
"1631","2011fe","PTF 11kly","210.774208","54.273722","SN Ia","0.000804","56017","2011-09-29 02:44:09.00","2455833.6139931","","Lick-3m","KAST","Brad Cenko, Michael Kandrashoff","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2011fe_2011-09-29_02-44-09_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3483.7915797716","10131.760832914","1.9969868588592","","2020MNRAS.492.4325S","SNR: 34.6483;","WIS_Bot1","2020-03-08 23:26:39"
