"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","4454","2012-12-22 00:58:06.00","2456283.5403472","","Ekar","AFOSC","Ochner","Unknown","Asiago","Y","Asiago","","SN2012ht_2012-12-22_00-58-06_Ekar_AFOSC_Asiago.ascii","SN2012ht_2012-12-22_00-58-06_Ekar_AFOSC_Asiago.fits","Object","","","Air","Angstrom","1","Other","","1800","200","","","","","","","3392.5978216042","7943.660903262","2.2881161798179","","","Data was ingested from the &lt;a href=&#039;http://graspa.oapd.inaf.it/cgi-bin/output_class.cgi?sn=2011&#039;&gt;Asiago SN classification Program&lt;/a&gt;; AKA: PSN J10532275+1646349; Discoverer: K. Nishiyama &amp; F. Kabashima;  See also: &lt;a href=&quot;http://adsabs.harvard.edu/abs/2014AN....335..841T&quot;&gt;2014AN....335..841T&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2013-01-02 20:49:46"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56101","2013-01-05 11:45:36.00","2456297.99","","Lick-3m","KAST","Kelsey Clubb","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-01-05_11-45-36_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3437.764994385","10462.763026389","1.9923420397062","","2020MNRAS.492.4325S","SNR: 61.766;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56102","2013-01-13 12:18:43.00","2456306.0129977","","Lick-3m","KAST","Pat Kelly, Ori Fox, Brad Tucker","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-01-13_12-18-43_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3437.764994385","10462.763026389","1.9923420397062","","2020MNRAS.492.4325S","SNR: 72.7656;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56103","2013-02-13 08:16:47.00","2456336.8449884","","Lick-3m","KAST","Pat Kelly","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-02-13_08-16-47_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3437.764994385","10462.763026389","1.9923420397062","","2020MNRAS.492.4325S","SNR: 41.5483;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56104","2013-03-05 05:22:33.00","2456356.7239931","","Lick-3m","KAST","Kelsey Clubb, Brad Cenko","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-03-05_05-22-33_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3437.764994385","10462.763026389","1.9923420397062","","2020MNRAS.492.4325S","SNR: 41.3544;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56106","2013-03-14 05:41:16.00","2456365.7369907","","Lick-3m","KAST","Kelsey Clubb, Brad Cenko","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-03-14_05-41-16_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3437.764994385","10462.763026389","1.9923420397062","","2020MNRAS.492.4325S","SNR: 38.8271;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56105","2013-03-22 07:58:04.00","2456373.8319907","","Lick-3m","KAST","Pat Kelly, Ori Fox, Weikang Zheng","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-03-22_07-58-04_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3475.6302320043","10096.068093655","1.9923075117816","","2020MNRAS.492.4325S","SNR: 26.0261;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56110","2013-04-03 09:44:38.00","2456385.9059954","","Lick-3m","KAST","Ori Fox, Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-04-03_09-44-38_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3487.587675463","10462.763026389","1.9923380036921","","2020MNRAS.492.4325S","SNR: 31.71;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56111","2013-04-12 09:11:31.00","2456394.8829977","","Lick-3m","KAST","Kelsey Clubb, Weikang Zheng","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-04-12_09-11-31_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3487.587675463","10462.763026389","1.9923380036921","","2020MNRAS.492.4325S","SNR: 22.4885;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56108","2013-04-19 07:55:12.00","2456401.83","","Lick-3m","KAST","Kelsey Clubb, Weikang Zheng","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-04-19_07-55-12_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3686.8783997752","9964.5362156086","1.9922747749392","","2020MNRAS.492.4325S","SNR: 14.9474;","WIS_Bot1","2020-03-08 23:26:39"
"1384","2012ht","","163.3448","16.7764","SN Ia","0.004","56109","2013-05-02 07:29:16.00","2456414.8119907","","Lick-3m","KAST","Zheng","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2012ht_2013-05-02_07-29-16_Lick-3m_KAST_UCB-SNDB.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3637.0557186972","10014.358896687","1.9922846541673","","2020MNRAS.492.4325S","SNR: 17.8887;","WIS_Bot1","2020-03-08 23:26:39"
