"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15832","2000-07-23 00:00:00.00","2451748.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-07-23_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2","","","","","3801.3006955825","7340.7163745591","1.9828659265975","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15807","2000-07-24 00:00:00.00","2451749.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2000cx_2000-07-24_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3739.2418825565","6739.134747777","1.5665236894102","Li et al. 2001","2001PASP..113.1178L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15809","2000-07-26 00:00:00.00","2451751.5","","Lick1m","Nickel-Spec","Unknown","Unknown","SUSPECT","Y","SUSPECT","","2000cx_2000-07-26_00-00-00_Lick1m_Nickel-Spec_SUSPECT.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3788.434602153","7084.2575361381","0.98177626868786","Li et al. 2001","2001PASP..113.1178L","Please note that the spectrum may have been erroneously corrected for redshift. Check e.g. Telluric/Balmer lines or check against the original source;  [Prev. spec info - createdby: upload-suspect; modifiedby: admin]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15833","2000-07-28 09:30:14.00","2451753.8959954","","Lick-3m","KAST","Alex Filippenko,Ryan Chornock","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-07-28_09-30-14_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","200","0","","1.76362","","","","","3273.5627075736","10366.281907317","1.9834225950064","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74586 11 1.5 129.9 -50.8911 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15834","2000-08-01 00:00:00.00","2451757.5","","Lick-3m","KAST","Michael Rich","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-01_00-00-00_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","600","0","","1.1","","","","","3323.1621425369","10614.279082133","1.9834376875941","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74586 11 0 NULL NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15835","2000-08-02 00:00:00.00","2451758.5","","Lick-3m","KAST","Michael Rich","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-02_00-00-00_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","600","0","","1.1","","","","","3323.1621425369","10614.279082133","1.9834376875941","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74586 11 0 NULL NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15836","2000-08-03 00:00:00.00","2451759.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-03_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2.1","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15837","2000-08-05 00:00:00.00","2451761.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-05_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2.1","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15838","2000-08-07 00:00:00.00","2451763.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-07_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2.1","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15839","2000-08-10 00:00:00.00","2451766.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-10_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2.2","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","50347","2000-08-18 00:00:00.00","2451774.5","","Other","Other","Unknown","","UCB-SNDB","Y","UCB-SNDB","","SN_2000cx_2000-08-18_00-00-00_Other_Other_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3918.9229410773","7391.3863065888","1.9831315622567","","2001PASP..113.1178L","SNR: 38.8481;","WIS_Bot1","2019-01-23 10:48:35"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15843","2000-08-22 00:00:00.00","2451778.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-22_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","2.1","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 0 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
"5285","2000cx","","21.19229","9.50858","SN Ia-pec","0.008076","15845","2000-08-26 00:00:00.00","2451782.5","","Lick1m","Nickel-Spec","Elinor Gates","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN2000cx_2000-08-26_00-00-00_Lick1m_Nickel-Spec_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","3600","0","","1.7","","","","","3918.3553620957","7390.3158095223","1.9828443446183","Li, et al. 2001","2001PASP..113.1178L","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = IAUC 7463 2000-07-17 Lick Observatory Supernova Search IAUC 74580 7 2 0 NULL [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-07-21 07:54:18"
