"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","20950","2004-03-17 12:14:24.00","2453082.01","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004ao_2004-03-17_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.12","","","","","3699.133189677","7498.2026389139","1.4910005687743","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:43"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","20958","2004-03-29 12:00:00.00","2453094","","FLWO-1.5m","FAST","MC","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004ao_2004-03-29_12-00-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.1","","","","","3699.133189677","7498.2026389139","1.4910005687743","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:43"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","20960","2004-04-14 10:48:00.00","2453109.95","","FLWO-1.5m","FAST","JHuc","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004ao_2004-04-14_10-48-00_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.11","","","","","3699.133189677","7498.2026389139","1.4910005687743","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:43"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","50420","2004-04-24 11:29:45.00","2453119.9789931","","Lick-3m","KAST","Louis Desroches, Frank Serduke, Mohan Ganeshalingam","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2004ao_2004-04-24_11-29-45_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3448.5090269795","10464.852652806","1.9881959835157","","2019MNRAS.482.1545S","SNR: 38.4254;","WIS_Bot1","2019-01-23 10:48:35"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","20965","2004-05-12 07:26:24.00","2453137.81","","FLWO-1.5m","FAST","PBe","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004ao_2004-05-12_07-26-24_FLWO-1.5m_FAST_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","3","","1.25","","","","","3388.8833092525","7297.6141585317","1.4612077941231","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:43"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","50422","2004-05-27 10:33:36.00","2453152.94","","Lick-3m","KAST","Ryan Foley, Mohan Ganeshalingam, Diane Wong","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2004ao_2004-05-27_10-33-36_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3963.5977455422","6712.0634175639","1.9873215271307","","2019MNRAS.482.1545S","SNR: 29.8582;","WIS_Bot1","2019-01-23 10:48:35"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","50416","2004-06-20 00:00:00.00","2453176.5","","Lick-3m","KAST","Ryan Foley, Mohan Ganeshalingam","Ryan Foley","UCB-SNDB","Y","UCB-SNDB","","SN_2004ao_2004-06-20_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3283.4419858957","10341.549561876","1.9881993171776","","2019MNRAS.482.1545S","SNR: 21.4405;","WIS_Bot1","2019-01-23 10:48:35"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","50415","2004-07-11 00:00:00.00","2453197.5","","Lick-3m","KAST","Ryan Foley, Frank Serduke","Ryan Foley","UCB-SNDB","Y","UCB-SNDB","","SN_2004ao_2004-07-11_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3281.4532263646","10341.549561876","1.9881994749399","","2019MNRAS.482.1545S","SNR: 18.7402;","WIS_Bot1","2019-01-23 10:48:35"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","20971","2004-07-21 05:31:12.00","2453207.73","","MMT","MMT-Blue","LM, ABonanos","Unknown","CfA-Stripped","Y","CfA-Stripped","","SN2004ao_2004-07-21_05-31-12_MMT_MMT-Blue_CfA-Stripped.flm","","Object","","","Air","Angstrom","1","Other","","1200","1","","1.1","","","","","3366.0123244776","8562.0614115773","1.9482748733032","Modjaz et al. 2014","2014AJ....147...99M","For additional info see related file and the &lt;a href=http://www.cfa.harvard.edu/supernova/SNarchive.html&gt;CfA SN Data Archive&lt;/a&gt; [Data obtained from:Modjaz, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2013-03-18 13:09:43"
"7039","2004ao","","262.038958","7.415419","SN Ib","0.005641","50419","2004-11-14 00:00:00.00","2453323.5","","Keck1","LRIS","Alex Filippenko, Ryan Foley","Ryan Foley","UCB-SNDB","Y","UCB-SNDB","","SN_2004ao_2004-11-14_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3172.0714521524","9347.1697963112","1.9881192350801","","2019MNRAS.482.1545S","SNR: 11.6013;","WIS_Bot1","2019-01-23 10:48:35"
