"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","11358","2014-01-08 18:46:13.00","2456666.2820949","","Ekar","AFOSC","Pastorello Tartaglia","Unknown","Asiago","Y","Asiago","","2014C_2014-01-08_18-46-13_Ekar_AFOSC_Asiago.ascii","2014C_2014-01-08_18-46-13_Ekar_AFOSC_Asiago.fits","Object","","","Air","Angstrom","1","Other","","1800","1.69","","","","","","","3412.2727468085","8182.1494000783","4.8180572255251","","","Data was ingested from the &lt;a href=&#039;http://graspa.oapd.inaf.it/cgi-bin/output_class.cgi?sn=2011&#039;&gt;Asiago SN classification Program&lt;/a&gt;; AKA: PSN J22370560+3424319; Discoverer: LOSS;  See also: &lt;a href=&quot;http://adsabs.harvard.edu/abs/2014AN....335..841T&quot;&gt;2014AN....335..841T&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2016-03-31 15:16:51"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48620","2014-01-22 00:00:00.00","2456679.5","","Lick-3m","KAST","Ori Fox, Jon Mauerhan","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2014-01-22_00-00-00_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4537.6032678722","9922.8906627095","4.9817644725599","","2019MNRAS.482.1545S","SNR: 54.1825;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","11360","2014-05-06 00:00:00.00","2456783.5","","Other","Other","Milisavljevic","Unknown","","Y","","","SN2014C_2014-05-06_00-00-00_Other_Other_None.ascii","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3289.0472134849","8491.1371247464","1.9439797874669","","","Data was ingested from the &lt;a href=&#039;https://sne.space/&#039;&gt;Open Supernova Catalog&lt;/a&gt; [CAUTION: The uploaded spectrum may already be de-redshifted; please check.] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2016-03-31 15:16:51"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48611","2014-06-29 10:56:38.00","2456837.9559954","","Lick-3m","KAST","Isaac Shivvers","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2014-06-29_10-56-38_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3689.919140907","9972.7544348839","1.9939178971682","","2019MNRAS.482.1545S","SNR: 12.6804;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48617","2014-08-25 09:27:21.00","2456894.8939931","","Lick-3m","KAST","Isaac Shivvers","Isaac Shivvers","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2014-08-25_09-27-21_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3450.5730344698","10832.405867171","1.9940121104001","","2019MNRAS.482.1545S","SNR: 10.5151;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48615","2014-10-02 00:00:00.00","2456932.5","","Keck2","DEIMOS","Melissa Graham, Weikang Zheng, Alex Filippenko","Melissa Graham","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2014-10-02_00-00-00_Keck2_DEIMOS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4400.3364837104","9616.1842488825","0.62924933830041","","2019MNRAS.482.1545S","SNR: 9.10742;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48613","2014-11-20 00:00:00.00","2456981.5","","Keck1","LRIS","Melissa Graham, Brad Tucker","Melissa Graham","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2014-11-20_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3066.9152162275","10233.626692813","0.60806986904676","","2019MNRAS.482.1545S","SNR: 11.7197;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48616","2015-06-16 00:00:00.00","2457189.5","","Keck1","LRIS","Melissa Graham, Weikang Zheng, Alex Filippenko","Melissa Graham","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2015-06-16_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3091.808628654","10304.158608993","0.609202633697","","2019MNRAS.482.1545S","SNR: 10.1027;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48619","2015-09-16 00:00:00.00","2457281.5","","Keck1","LRIS","WeiKang Zheng; Melissa Graham; Alex Filippenko","Melissa Graham","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2015-09-16_00-00-00_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3215.1838910472","10290.635982496","0.60926996395838","","2019MNRAS.482.1545S","SNR: 9.46306;","WIS_Bot1","2019-01-23 10:48:35"
"3732","2014C","","339.273333","34.408861","SN Ib","0.002722","48621","2016-10-25 00:00:00.00","2457686.5","","Keck2","DEIMOS","WeiKang Zheng, Thomas Brink","Brad Cenko","UCB-SNDB","Y","UCB-SNDB","","SN_2014C_2016-10-25_00-00-00_Keck2_DEIMOS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4390.7062506793","9612.1838496602","0.63313660712755","","2019MNRAS.482.1545S","SNR: 10.4179;","WIS_Bot1","2019-01-23 10:48:35"
