"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2896","1998-05-03 09:30:00.00","2450936.8958333","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-03_09-30-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-05-03_09-30-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3314.5907676749","8999.5607290269","2.967103320121","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2897","1998-05-04 00:00:00.00","2450937.5","","ESO-3.6m","EFOSC2-3.6","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-04_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat","1998bw_1998-05-04_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3326.6152803263","10170.640112981","4.0330140439919","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2899","1998-05-08 00:00:00.00","2450941.5","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-08_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-05-08_00-00-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3273.8433188272","10181.732866083","2.9660324376368","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2901","1998-05-11 00:00:00.00","2450944.5","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-11_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-05-11_00-00-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3430.2864253584","10121.774904623","2.9284413475994","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2904","1998-05-16 00:00:00.00","2450949.5","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-16_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-05-16_00-00-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3350.7190197349","8923.053149047","2.9297235169885","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2907","1998-05-21 00:00:00.00","2450954.5","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-21_00-00-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-05-21_00-00-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3350.7220029887","8923.0569693449","2.9297239570748","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2910","1998-05-29 00:00:00.00","2450962.5","","ESO-3.6m","EFOSC2-3.6","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-05-29_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat","1998bw_1998-05-29_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3319.6980404866","10168.266647753","4.0572088905605","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2914","1998-06-24 05:45:00.00","2450988.7395833","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-06-24_05-45-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-06-24_05-45-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3222.6110288657","9000","2.0095265986554","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2916","1998-07-01 04:15:00.00","2450995.6770833","","Danish-1.54m","DFOSC","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-07-01_04-15-00_Danish-1.54m_DFOSC_SUSPECT.dat","1998bw_1998-07-01_04-15-00_Danish-1.54m_DFOSC_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3344.3807019512","8924.6187720748","2.927721967536","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2919","1998-09-12 00:00:00.00","2451068.5","","ESO-3.6m","EFOSC2-3.6","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-09-12_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat","1998bw_1998-09-12_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3371.3469225056","10109.921941934","2.0588374639254","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
"933","1998bw","","293.76379","-52.84578","SN Ic","0.008499","2922","1998-11-26 00:00:00.00","2451143.5","","ESO-3.6m","EFOSC2-3.6","Unknown","Unknown","SUSPECT","Y","SUSPECT","","1998bw_1998-11-26_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.dat","1998bw_1998-11-26_00-00-00_ESO-3.6m_EFOSC2-3.6_SUSPECT.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3315.7312214428","10303.212206364","2.0569564277071","Asiago SN Group","2001ApJ...555..900P",""," Migration From WISeREP1.0","2011-07-21 07:54:18"
