"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18758","2015-02-17 00:00:00.00","2457070.5","","ESO-NTT","EFOSC2-NTT","LeGuillou,Baumont, Mitra","Nicholl","","Y","","","2015bn_2015-02-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","900","0","","","","","","","3274.0571032996","8297.4450307331","4.9491506674222","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18759","2015-02-18 12:00:00.00","2457072","","ESO-NTT","EFOSC2-NTT","L. Le Guillou","N. Chotard","","Y","","","2015bn_2015-02-18_12-00-00_ESO-NTT_EFOSC2-NTT_None.asci","","Object","","","Air","Angstrom","1","Other","","900","0","","","","","","","3270.5171080819","8294.9240771193","4.9501546492979","","","[TNS Source Group: Pan-STARRS1; Sender: sjsmartt] Same spectrum as submitted to WISeREP by PESSTO [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18763","2015-02-25 00:00:00.00","2457078.5","","ESO-NTT","EFOSC2-NTT","LeGuillou,Baumont, Mitra","Nicholl","","Y","","","2015bn_2015-02-25_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","3001.5614389003","8965.7496309829","3.6590111607869","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18764","2015-03-01 00:00:00.00","2457082.5","","LT","SPRAT","Sullivan","Nicholl","","Y","","","2015bn_2015-03-01_00-00-00_LT_SPRAT_None.txt","","Object","High","","Air","Angstrom","1","Other","","900","0","","","","","","","3609.9137931034","7178.8793103448","8.242414589472","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18766","2015-03-11 00:00:00.00","2457092.5","","ESO-NTT","EFOSC2-NTT","Fraser","Nicholl","","Y","","","2015bn_2015-03-11_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","3001.7995286262","8966.3178893342","3.6592137182258","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18769","2015-03-18 00:00:00.00","2457099.5","","ESO-NTT","EFOSC2-NTT","Campbell","Nicholl","","Y","","","2015bn_2015-03-18_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","3002.0027599115","8965.91449606","3.6588415559193","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","css1133+0043","173.423125","0.725972","SLSN-I","0.1136","49950","2015-03-27 08:06:43.00","2457108.8379977","","Lick-3m","KAST","Isaac Shivvers","Isaac Shivvers","UCB-SNDB","Y","UCB-SNDB","","SN_2015bn_2015-03-27_08-06-43_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3117.1171171171","9803.6036036036","1.8013164026095","","2019MNRAS.482.1545S","SNR: 60.1548;","WIS_Bot1","2019-01-23 10:48:35"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18775","2015-04-24 00:00:00.00","2457136.5","","Magellan-Baade","IMACS","Milisavljevic","Milisavljevic","","Y","","","2015bn_2015-04-24_00-00-00_Magellan-Baade_IMACS_None.txt","","Object","High","","Air","Angstrom","1","Other","","1200","0","","","","","","","3803.1590601669","8090.584828858","1.1414871588634","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18777","2015-05-08 00:00:00.00","2457150.5","","LT","SPRAT","Sullivan","Nicholl","","Y","","","2015bn_2015-05-08_00-00-00_LT_SPRAT_None.txt","","Object","High","","Air","Angstrom","1","Other","","3600","0","","","","","","","3717.3132157519","7079.7412940521","8.2412452899516","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18779","2015-05-23 00:00:00.00","2457165.5","","UH88","SNIFS","Huber","Huber","","Y","","","2015bn_2015-05-23_00-00-00_UH88_SNIFS_None.txt","","Object","High","","Air","Angstrom","1","Other","","1200","0","","","","","","","2964.3139367816","8711.5930316092","2.1365349794898","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18781","2015-06-21 00:00:00.00","2457194.5","","UH88","SNIFS","Huber","Huber","","Y","","","2015bn_2015-06-21_00-00-00_UH88_SNIFS_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","2964.3139367816","8711.5930316092","2.1365349794898","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18784","2015-07-16 00:00:00.00","2457219.5","","Magellan-Clay","LDSS-3","Lunnan,Villar","Chornock","","Y","","","2015bn_2015-07-16_00-00-00_Magellan-Clay_LDSS-3_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","3412.3563218391","9551.0057471264","1.7954517184227","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18787","2016-01-01 00:00:00.00","2457388.5","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","2015bn_2016-01-01_00-00-00_ESO-NTT_EFOSC2-NTT_None_0.txt","","Object","","","Air","Angstrom","1","Other","","5400","0","","","","","","","3269.5533489359","8290.5710154567","4.9468154349959","Jerkstrand et al. 2017","2017ApJ...835...13J","Host galaxy-model subtracted [Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18790","2016-03-05 00:00:00.00","2457452.5","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None.txt","","Object","","","Air","Angstrom","1","Other","","12800","0","","","","","","","2873.7881932471","9159.630074533","2.1541610285421","Jerkstrand et al. 2017","2017ApJ...835...13J","Cal. To photometry [Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18792","2016-03-05 00:00:00.00","2457452.5","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None_1.txt","","Object","","","Air","Angstrom","1","Other","","12800","0","","","","","","","2873.7881932471","9159.630074533","2.1541610285421","Jerkstrand et al. 2017","2017ApJ...835...13J","Host galaxy-model subtracted [Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18795","2016-05-29 00:00:00.00","2457537.5","","Gemini-N","GMOS","Unknown","Nicholl","","Y","","","2015bn_2016-05-29_00-00-00_Gemini-N_GMOS_None.txt","","Object","High","","Air","Angstrom","1","Other","","6000","0","","","","","","","4201.5782475437","9150.2169905038","3.0871108814474","Nicholl et al. 2016","2016ApJ...828L..18N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
