"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29243","2017-05-30 21:50:24.00","2457904.41","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2017egm_2017-05-30_21-50-24_NOT_ALFOSC_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3292.3030018292","9407.5223779179","3.261450333914","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29244","2017-06-03 04:45:24.00","2457907.6981944","","Lick-3m","KAST","Unknown","Unknown","","Y","","","2017egm_2017-06-03_04-45-24_Lick-3m_KAST_None.txt","","Object","","","Air","Angstrom","1","Other","","900","2","","","","","","","3396.0944018628","8572.6735228486","1.2083518022843","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29245","2017-06-07 23:31:12.00","2457912.48","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2017egm_2017-06-07_23-31-12_NOT_ALFOSC_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3296.5403118482","9411.759687937","3.3091013939874","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29246","2017-06-10 22:00:44.00","2457915.4171759","","LT","SPRAT","Unknown","Unknown","","Y","","","2017egm_2017-06-10_22-00-44_LT_SPRAT_None.txt","","Object","","","Air","Angstrom","1","Other","","400","1.8","","","","","","","3900.2619578927","7756.2820413311","8.9053581603659","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29248","2017-06-15 21:26:10.00","2457920.3931713","","LT","SPRAT","Unknown","Unknown","","Y","","","2017egm_2017-06-15_21-26-10_LT_SPRAT_None.txt","","Object","","","Air","Angstrom","1","Other","","400","1.8","","","","","","","3900.2619578927","7756.2820413311","8.9053581603659","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29250","2017-06-17 22:19:12.00","2457922.43","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2017egm_2017-06-17_22-19-12_NOT_ALFOSC_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3291.7802373387","9407.0000212234","3.2736722611803","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29252","2017-06-20 04:52:19.00","2457924.7029977","","Lick-3m","KAST","Unknown","Unknown","","Y","","","2017egm_2017-06-20_04-52-19_Lick-3m_KAST_None.txt","","Object","","","Air","Angstrom","1","Other","","600","2","","","","","","","3232.754438731","10379.353837198","1.965511385717","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29254","2017-06-21 04:45:07.00","2457925.6979977","","Lick-3m","KAST","Unknown","Unknown","","Y","","","2017egm_2017-06-21_04-45-07_Lick-3m_KAST_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","2","","","","","","","3517.9974774425","10381.294266033","1.9876330114655","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29258","2017-06-24 21:51:12.00","2457929.4105556","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2017egm_2017-06-24_21-51-12_NOT_ALFOSC_None.txt","","Object","","","Air","Angstrom","1","Other","","1100","1","","","","","","","3291.9128838411","9407.1317202507","3.2614500460852","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
"9498","2017egm","","154.773417","46.453911","SLSN-I","0.0307","29261","2017-06-26 22:23:41.00","2457931.4331134","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2017egm_2017-06-26_22-23-41_NOT_ALFOSC_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3292.8281447075","9408.0479285922","3.2930639654737","Bose et al. 2018","2018ApJ...853...57B","[Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2017-05-25 08:27:12"
