"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23276","2009-04-18 11:32:38.00","2454939.9809954","","Lick-3m","KAST","Christopher Griffith,Stephen Cenko","Thea Steele","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-04-18_11-32-38_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","1500","0","","1.05555","","","","","3381.0372168602","9690.8710037393","1.9571444748384","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17624.81025 11.1742 1.8 213 35.8278 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23248","2009-04-28 00:00:00.00","2454949.5","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2009dc_2009-04-28_00-00-00_CA-2.2m_CAFOS_None.ascii","SN2009dc_2009-04-28_00-00-00_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","1800","0","","1.02","","LR-B,LR-R","","","3210.7128174005","9980.3392794556","4.1917191715512","Taubenberger et al 2011","2011MNRAS.412.2735T","Corrected for atmospheric extinction and telluric features [Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23252","2009-05-03 00:00:00.00","2454954.5","","CA-2.2m","CAFOS","Unknown","Unknown","","Y","","","SN2009dc_2009-05-03_00-00-00_CA-2.2m_CAFOS_None.ascii","SN2009dc_2009-05-03_00-00-00_CA-2.2m_CAFOS_None.fits","Object","","","Air","Angstrom","1","Other","","3600","0","","1.05","","IJ,HK","","","3122.711973273","10369.646849121","4.186559720305","Taubenberger et al 2011","2011MNRAS.412.2735T","Corrected for atmospheric extinction and telluric features [Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23254","2009-05-05 00:00:00.00","2454956.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","SN2009dc_2009-05-05_00-00-00_NOT_ALFOSC_None.ascii","SN2009dc_2009-05-05_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","900","0","","1.36","","gm4","","","3122.0079282827","8923.1933469479","2.9597884789108","Taubenberger et al 2011","2011MNRAS.412.2735T","Corrected for atmospheric extinction and telluric features [Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23258","2009-05-18 00:00:00.00","2454969.5","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","SN2009dc_2009-05-18_00-00-00_ESO-NTT_EFOSC2-NTT_None.ascii","SN2009dc_2009-05-18_00-00-00_ESO-NTT_EFOSC2-NTT_None.fits","Object","","","Air","Angstrom","1","Other","","1800","0","","1.76","","gm11,gm16","","","3264.5509896435","10069.532496537","3.9795213490607","Taubenberger et al 2011","2011MNRAS.412.2735T","Corrected for atmospheric extinction and telluric features [Data obtained from:Stefan Taubenberger] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23277","2009-05-31 08:11:02.00","2454982.8409954","","Lick-3m","KAST","Thea Steele,Xiaofeng Wang,Io Kleiser","Thea Steele","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-05-31_08-11-02_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","1500","0","","1.03047","","","","","3347.7554376554","10376.084105014","1.9572065350483","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17624.1754 9.99535 2.69653 190.4 10.5612 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23278","2009-06-17 12:08:38.00","2455000.0059954","","Keck1","LRIS","Jeffrey Silverman,Alex Filippenko,Dovi Poznanski,Iair Arcavi","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-06-17_12-08-38_Keck1_LRIS_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","225","0","","1.55942","","","","","3320.3469136044","10043.266312966","1.9571817756512","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17624.5 5.8015 2.19012 85.0096 84.913 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23279","2009-06-29 06:53:17.00","2455011.7870023","","Lick-3m","KAST","Io Kleiser,Stephen Cenko","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-06-29_06-53-17_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","2100","0","","1.07681","","","","","3367.3329548347","10552.281759627","1.9572184159064","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17624.10493 10.2884 2.02993 36.2 39.9976 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23280","2009-07-16 07:16:19.00","2455028.8029977","","Lick-3m","KAST","Jeffrey Silverman,Michael Kandrashoff","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-07-16_07-16-19_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","2100","0","","1.28542","","","","","3386.9104720139","10532.704242448","1.957215494504","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17623.93254 10.5786 1.84637 59.1 60.042 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
"7767","2009dc","","237.8005","25.707778","SN Ia-SC","0.02158","23282","2009-07-28 06:41:46.00","2455040.7790046","","Lick-3m","KAST","Thea Steele,Bethany Cobb","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN2009dc_2009-07-28_06-41-46_Lick-3m_KAST_UCB-SNDB.flm","","Object","High","","Air","Angstrom","1","Other","","2100","0","","1.3329","","","","","3418.2344995008","10487.675952936","1.9572097047162","Silverman, et al. 2011","2011MNRAS.410..585S","[Class. Ref, Disc. Date, Discoverer, Disc. Ref, Blue Res, Red Res, Seeing (Ang), Pos. Angle (deg), PA (deg)] = CBET 1768 2009-04-09 Puckett, Moore, Newton CBET 17624.08776 10.2021 1.78581 61.6 60.8137 [Data obtained from:Jeff Silverman] [Prev. spec info - createdby: admin-UploadSet; modifiedby: admin-UploadSet]"," Migration From WISeREP1.0","2011-09-06 09:37:13"
